COMPANY_ID;ACCOUNT_ID;CODE;RATE;BASE
1;4;A0;10;0
1;12;A1;10;0
1;6;A2;10;0
1;9;A3;10;0
1;5;A4;10;0
1;2974;A5;10;0
1;20;A6;10;0
1;21;A7;10;0
1;27;A8;10;0
1;1;A9;10;0
1;2;A10;10;0
1;3;A11;10;0
1;7;A12;10;0
1;8;A13;10;0
1;10;A14;10;0
1;11;A15;10;0
1;13;A16;10;0
1;14;A17;10;0
1;15;A18;10;0
1;16;A19;10;0
1;17;A20;10;0
1;18;A21;10;0
1;19;A22;10;0
1;22;A23;10;0
1;23;A24;10;0
1;24;A25;10;0
1;25;A26;10;0
1;26;A27;10;0
1;28;A28;10;0
1;29;A29;10;0
1;29;A30;10;0
1;30;A31;10;0
1;31;A32;10;0
1;32;A33;10;0
1;33;A34;10;0
1;34;A35;10;0
1;35;A36;10;0
1;36;A37;10;0
1;37;A38;10;0
1;38;A39;10;0
1;39;A40;10;0
1;40;A41;10;0
1;41;A42;10;0
1;42;A43;10;0
1;43;A44;10;0
1;44;A45;10;0
1;45;A46;10;0
1;46;A47;10;0
1;47;A48;10;0
1;48;A49;10;0
1;49;A50;10;0
1;50;A51;10;0
1;51;A52;10;0
1;52;A53;10;0
1;53;A54;10;0
1;54;A55;10;0
1;55;A56;10;0
1;56;A57;10;0
1;57;A58;10;0
1;58;A59;10;0
1;59;A60;10;0
1;60;A61;10;0
1;61;A62;10;0
1;62;A63;10;0
1;63;A64;10;0
1;64;A65;10;0
1;65;A66;10;0
1;66;A67;10;0
1;67;A68;10;0
1;68;A69;10;0
1;69;A70;10;0
1;70;A71;10;0
1;71;A72;10;0
1;72;A73;10;0
1;73;A74;10;0
1;74;A75;10;0
1;75;A76;10;0
1;76;A77;10;0
1;77;A78;10;0
1;78;A79;10;0
1;79;A80;10;0
1;80;A81;10;0
1;81;A82;10;0
1;82;A83;10;0
1;83;A84;10;0
1;84;A85;10;0
1;85;A86;10;0
1;86;A87;10;0
1;87;A88;10;0
1;88;A89;10;0
1;89;A90;10;0
1;90;A91;10;0
1;91;A92;10;0
1;92;A93;10;0
1;93;A94;10;0
1;94;A95;10;0
1;95;A96;10;0
1;96;A97;10;0
1;97;A98;10;0
1;98;A99;10;0
1;99;A100;10;0
1;100;A101;10;0
1;101;A102;10;0
1;102;A103;10;0
1;103;A104;10;0
1;104;A105;10;0
1;105;A106;10;0
1;106;A107;10;0
1;107;A108;10;0
1;108;A109;10;0
1;109;A110;10;0
1;110;A111;10;0
1;111;A112;10;0
1;112;A113;10;0
1;113;A114;10;0
1;114;A115;10;0
1;115;A116;10;0
1;116;A117;10;0
1;117;A118;10;0
1;118;A119;10;0
1;119;A120;10;0
1;120;A121;10;0
1;121;A122;10;0
1;122;A123;10;0
1;123;A124;10;0
1;124;A125;10;0
1;125;A126;10;0
1;126;A127;10;0
1;127;A128;10;0
1;128;A129;10;0
1;129;A130;10;0
1;130;A131;10;0
1;131;A132;10;0
1;132;A133;10;0
1;133;A134;10;0
1;134;A135;10;0
1;135;A136;10;0
1;136;A137;10;0
1;137;A138;10;0
1;138;A139;10;0
1;139;A140;10;0
1;140;A141;10;0
1;141;A142;10;0
1;142;A143;10;0
1;143;A144;10;0
1;144;A145;10;0
1;145;A146;10;0
1;146;A147;10;0
1;147;A148;10;0
1;148;A149;10;0
1;149;A150;10;0
1;150;A151;10;0
1;151;A152;10;0
1;152;A153;10;0
1;153;A154;10;0
1;154;A155;10;0
1;155;A156;10;0
1;156;A157;10;0
1;157;A158;10;0
1;158;A159;10;0
1;159;A160;10;0
1;160;A161;10;0
1;161;A162;10;0
1;162;A163;10;0
